"";"X";"id";"first_name";"second_name";"name";"singular_name";"form";"selected_by_percent";"total_points";"goals_scored";"assists";"clean_sheets";"transfers_in_event";"transfers_out_event";"event_points";"points_per_game";"goals_conceded";"yellow_cards";"red_cards";"saves";"bonus";"bps";"influence";"creativity";"threat";"ict_index";"value_form";"value_season";"news";"now_cost";"ep_this";"ep_next";"chance_of_playing_this_round";"in_dreamteam";"dreamteam_count";"minutes";"element_type";"team_code"
"1";1;1;"Petr";"Cech";"Arsenal";"Goalkeeper";0;1,1;24;0;0;1;53;139;0;3,4;9;0;0;27;3;130;205;0;0;20,4;0;5;"";4,8;0;0,5;100;FALSE;0;585;1;3
"2";2;2;"Bernd";"Leno";"Arsenal";"Goalkeeper";5,3;2,5;78;0;0;4;6371;1873;0;3,3;30;0;0;77;5;422;582,2;0;0;58,1;1,1;16,3;"";4,8;0;5,8;NA;FALSE;1;2115;1;3
"3";3;3;"Laurent";"Koscielny";"Arsenal";"Defender";4,5;0,9;50;3;0;2;3530;1082;0;4,2;13;1;0;0;5;234;361,8;15,7;99;47,6;0,8;9,3;"";5,4;0;5;100;FALSE;1;958;2;3
"4";4;4;"Héctor";"Bellerín";"Arsenal";"Defender";0;4,6;60;0;5;4;24;869;0;3,2;21;3;0;0;5;304;261,6;197,8;280;73,7;0;11,1;"Knee injury - Unknown return date";5,4;0;0;0;FALSE;0;1532;2;3
"5";5;5;"Nacho";"Monreal";"Arsenal";"Defender";2,5;0,8;55;1;3;3;493;312;0;3,4;18;2;0;0;4;274;319,8;132,9;169;62,2;0,5;10,2;"";5,4;0;3;100;FALSE;1;1320;2;3
"6";6;6;"Rob";"Holding";"Arsenal";"Defender";0;0,4;24;0;0;1;10;60;0;2,4;10;1;0;0;5;148;187,8;28,7;14;23,2;0;5,6;"Anterior cruciate ligament  - Expected back 05 Jun";4,3;0;0;0;FALSE;0;806;2;3
"7";7;7;"Shkodran";"Mustafi";"Arsenal";"Defender";2;1;60;2;0;4;368;265;0;2,5;31;6;0;0;2;362;555,8;55,3;191;80,5;0,4;11,1;"";5,4;0;2,5;100;FALSE;0;1981;2;3
"8";8;8;"Sead";"Kolasinac";"Arsenal";"Defender";4,3;5,7;71;0;7;4;12155;5297;0;3,9;22;4;0;0;10;338;281,4;385,7;205;87,1;0,9;14,2;"";5;0;4,8;100;FALSE;1;1526;2;3
"9";9;10;"Konstantinos";"Mavropanos";"Arsenal";"Defender";0;0,1;1;0;0;0;20;24;0;1;0;0;0;0;0;4;3,4;0,1;0;0,4;0;0,2;"";4,7;0;0,5;100;FALSE;0;11;2;3
"10";10;11;"Stephan";"Lichtsteiner";"Arsenal";"Defender";0,3;0,8;11;0;0;0;82;109;0;0,9;16;2;0;0;0;68;96,4;45,6;19;16,3;0,1;2,4;"";4,5;0;0,8;100;FALSE;0;769;2;3
"11";11;12;"Sokratis";"Papastathopoulos";"Arsenal";"Defender";3,5;1,1;48;0;2;4;941;225;0;2,4;25;9;0;0;3;317;377,2;63,8;61;50,4;0,7;9,4;"";5,1;0;4;100;FALSE;1;1748;2;3
"12";12;13;"Mesut";"Özil";"Arsenal";"Midfielder";4,3;2,4;73;4;3;4;1320;869;0;4,1;16;1;0;0;9;292;333,4;520,8;176;103,1;0,5;9,2;"";7,9;0;4,8;100;FALSE;2;1261;3;3
"13";13;14;"Aaron";"Ramsey";"Arsenal";"Midfielder";3,5;1;76;3;6;7;1109;491;0;3;13;0;0;0;1;240;350;330;411;109,3;0,5;10,7;"";7,1;0;4;100;FALSE;0;1141;3;3
"14";14;15;"Alex";"Iwobi";"Arsenal";"Midfielder";2,5;1,6;77;3;6;2;992;2186;0;2,9;26;0;0;0;1;295;352,4;396;451;119,9;0,5;14,3;"";5,4;0;3;100;FALSE;0;1532;3;3
"15";15;16;"Mohamed";"Elneny";"Arsenal";"Midfielder";0;2,3;4;0;0;0;674;844;0;1;1;0;0;0;0;13;38,4;16,8;51;10,6;0;1;"";4,2;0;0,5;100;FALSE;0;152;3;3
"16";16;17;"Granit";"Xhaka";"Arsenal";"Midfielder";3,8;2,4;80;4;2;6;2866;951;0;3,2;30;8;0;0;8;398;554,8;534;173;126,4;0,7;15,4;"";5,2;0;4,3;100;FALSE;1;2152;3;3
"17";17;18;"Henrikh";"Mkhitaryan";"Arsenal";"Midfielder";7,8;5,5;85;6;4;2;8084;8216;0;4,7;19;1;0;0;12;296;385,8;344,7;422;115,4;1,1;12,5;"";6,8;0;8,3;100;FALSE;4;1156;3;3
"18";18;19;"Reiss";"Nelson";"Arsenal";"Midfielder";0;0,4;0;0;0;0;2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Hoffenheim";4,4;0;0;0;FALSE;0;0;3;3
"19";19;20;"Ainsley";"Maitland-Niles";"Arsenal";"Midfielder";0,8;0,4;27;1;1;1;615;290;0;2,7;11;1;0;0;3;108;171,4;83,7;96;35,1;0,2;6,1;"";4,4;0;1,3;100;FALSE;0;611;3;3
